,ids,img_quantities,hopkins
0,10003327,15,0.904432162795137
1,10008016,14,0.730581781633011
2,10010617,101,1.0
3,10012036,99,1.0
4,10027741,73,1.0
5,10037617,37,1.0
6,10039120,13,0.730000090026732
7,10040445,73,1.0
8,10041099,29,1.0
10,10060678,94,1.0
11,10071055,101,1.0
12,10073246,94,1.0
13,10079361,13,1.0
17,10090698,80,1.0
18,10090952,14,1.0
19,10099400,99,0.999997696708809
20,10107912,15,1.0
21,10108036,11,1.0
22,10108775,101,1.0
23,10111734,52,1.0
24,10137876,95,1.0
25,10150972,16,1.0
27,10171778,13,1.0
28,10172515,23,1.0
30,10197024,35,1.0
33,10214759,30,1.0
34,10222287,94,1.0
35,10238910,100,1.0
36,10242935,35,1.0
37,10248926,97,0.999999999999994
39,10255521,101,1.0
42,10305703,60,1.0
43,10316373,100,0.999996795603457
45,10323509,32,1.0
46,10331743,42,1.0
47,10334868,98,1.0
48,10342163,15,0.999999999995927
49,10353143,59,1.0
50,10355867,19,1.0
51,10363580,93,1.0
53,10373890,17,0.999994652936447
54,10381776,98,1.0
55,10390120,16,0.998482943990319
57,10395382,96,1.0
58,10404690,11,0.76
60,10424891,39,0.99999999999885
62,10452812,10,1.0
63,10453102,15,0.988914392587345
64,10473306,10,0.999973275875117
65,10480294,11,0.999999999999968
66,10487667,96,1.0
67,10497222,11,0.999852419671485
69,10511919,101,1.0
70,10514274,98,1.0
71,10516177,99,1.0
72,10516307,11,0.999999999997827
74,10540409,101,1.0
75,10541484,25,1.0
77,10602692,14,0.999988666070822
78,10606799,74,1.0
79,10612578,97,1.0
80,10629007,100,0.999998046603284
81,10629881,101,1.0
83,10647777,100,0.999999999989077
85,10668105,19,1.0
89,10675147,15,0.932430348474583
91,10677735,21,0.999999998983905
92,10680227,26,1.0
95,10684139,100,1.0
97,10685706,36,0.999999998542221
98,10685791,28,1.0
99,10686369,22,0.999999999999998
100,10686419,41,1.0
101,10687779,15,1.0
103,10689300,74,1.0
105,10690646,15,1.0
106,10690761,15,1.0
107,10691585,11,0.787957582968818
108,10691906,51,0.908950785316696
109,10693167,35,0.93898245310796
110,10694125,18,0.7003294092966
111,10694859,16,0.999999998914861
112,10695181,51,1.0
114,10696491,10,1.0
116,10698038,15,0.999999999999998
118,10699427,30,1.0
119,10700112,38,1.0
120,10701883,25,1.0
121,10705072,80,1.0
122,10705530,10,0.999999999999965
124,10706498,90,1.0
126,10708218,13,1.0
129,10708874,27,1.0
132,10710170,28,1.0
136,10715732,11,0.999966825075405
137,10716638,23,0.999999999999998
138,10717476,13,1.0
139,10718308,49,1.0
140,10719064,98,1.0
141,10721565,101,1.0
144,10724201,11,0.999999915739332
145,10724823,41,0.999999999942001
146,10726319,37,0.999999999999981
147,10726393,16,1.0
148,10727084,33,1.0
151,10727713,100,1.0
154,10728559,12,0.71
155,10730110,22,1.0
156,10731495,23,0.779295240609735
157,10732003,21,0.999999999882574
158,10732491,94,0.999999999992802
159,10732597,99,1.0
160,10732853,95,1.0
162,10733097,11,1.0
163,10733800,14,1.0
165,10734509,26,1.0
166,10736169,14,0.999999999999998
167,10736919,97,1.0
168,10737304,94,1.0
169,10737975,21,0.975031115355786
170,10739056,21,0.999999999998594
171,10739466,106,1.0
173,10743531,11,0.789058227896238
174,10744504,13,0.999993008788854
175,10746680,29,0.99999999961312
176,10748171,22,1.0
178,10748819,10,0.997608587738125
179,10749477,19,0.999999999724017
181,10751420,43,1.0
184,10752836,17,0.740000033292863
185,10753022,29,1.0
186,10753052,10,1.0
187,10753400,15,1.0
188,10754082,73,1.0
189,10754356,14,0.98559531404499
191,10755905,12,0.999999999320567
192,10756422,45,1.0
194,10758138,100,1.0
195,10758429,97,0.999999999439308
196,10759202,57,1.0
197,10759446,10,0.999999999999959
198,10759691,96,1.0
200,10763433,11,0.999999999997821
202,10767235,17,0.740000288369189
203,10767432,106,1.0
204,10767444,101,1.0
206,10770822,13,1.0
207,10771315,12,0.99999999776295
208,10773252,10,0.933122107829884
210,10774955,101,1.0
211,10775938,99,1.0
212,10776760,100,0.999985201001484
213,10778654,22,0.999999999999966
215,10779983,31,1.0
217,10780260,15,1.0
218,10780933,29,1.0
219,10780986,100,0.999999999996284
