,ids,img_quantities,hopkins
1,10010617,101,1.0
2,10027741,73,1.0
3,10037617,37,1.0
4,10040445,73,1.0
5,10041099,29,1.0
7,10060678,94,1.0
9,10071055,101,1.0
10,10073246,94,1.0
11,10079361,13,1.0
13,10090698,80,1.0
14,10090952,14,1.0
15,10099400,99,1.0
16,10107912,15,1.0
17,10108036,11,1.0
18,10108775,101,1.0
19,10111734,52,1.0
20,10137876,95,1.0
21,10141067,10,1.0
22,10150972,16,1.0
24,10171778,13,0.71
25,10172515,23,1.0
29,10197024,35,0.999999999975562
32,10214759,30,1.0
33,10222287,94,1.0
34,10238910,100,1.0
35,10242935,35,1.0
36,10248926,97,1.0
38,10255521,101,1.0
40,10305703,60,1.0
41,10316373,100,1.0
43,10323509,32,1.0
44,10331743,42,1.0
45,10334868,98,1.0
46,10342163,15,1.0
47,10353143,59,1.0
48,10355867,19,1.0
49,10363580,93,1.0
51,10373890,17,0.999959549839054
52,10381776,98,1.0
53,10390120,16,1.0
54,10395382,96,1.0
56,10424891,39,1.0
58,10453102,15,1.0
59,10473306,10,1.0
60,10480294,11,1.0
61,10487667,96,1.0
62,10497222,11,0.999999999999998
65,10511919,101,1.0
66,10514274,98,1.0
67,10516177,99,1.0
68,10516307,11,0.790000000002598
71,10540409,101,1.0
72,10541484,25,0.999671952278392
74,10585474,10,0.72
75,10602692,14,1.0
76,10606799,74,1.0
77,10612578,97,1.0
78,10629007,100,0.999999999995565
79,10629881,101,1.0
80,10647777,100,1.0
82,10668105,19,1.0
85,10675147,15,0.999999378636061
87,10677735,21,1.0
88,10680227,26,0.999999999882204
89,10681352,100,0.999986406394054
91,10684139,100,1.0
93,10685706,36,1.0
94,10685791,28,0.730000000000001
95,10686369,22,1.0
96,10686419,41,1.0
98,10689300,74,1.0
100,10690646,15,1.0
101,10690761,15,0.999999999962531
102,10691906,51,0.999999999629708
104,10693167,35,1.0
106,10694125,18,1.0
107,10694859,16,1.0
108,10695181,51,1.0
109,10695336,13,1.0
112,10698038,15,1.0
114,10699427,30,1.0
115,10700112,38,0.999999999993378
116,10701883,25,1.0
117,10705072,80,1.0
118,10705530,10,0.999999945492134
120,10706498,90,1.0
123,10708874,27,1.0
125,10710170,28,1.0
129,10715732,11,0.750183987896539
130,10716638,23,1.0
131,10717476,13,1.0
132,10718308,49,1.0
133,10719064,98,1.0
134,10721565,101,1.0
137,10724201,11,0.72
139,10724823,41,0.703010566197124
140,10725593,22,1.0
142,10726319,37,1.0
143,10726393,16,1.0
144,10727084,33,1.0
148,10727713,100,1.0
151,10728559,12,0.72
153,10730110,22,1.0
154,10731495,23,0.999999534761957
155,10732003,21,1.0
156,10732491,94,1.0
157,10732597,99,1.0
158,10732853,95,1.0
160,10733097,11,1.0
162,10733800,14,1.0
164,10734509,26,1.0
165,10736169,14,0.77
166,10736919,97,1.0
167,10737304,94,1.0
168,10737975,21,1.0
169,10739056,21,1.0
