,ids,img_quantities,hopkins
280,10823174,50,0.995234235704456
282,10824476,33,0.979082938732249
285,10825085,20,0.962204419020581
286,10825869,87,0.998017733055097
287,10827207,26,0.982052105876958
289,10827283,95,0.996950406311788
290,10829464,24,0.988249816802964
291,10830801,100,0.998568415237877
293,10831381,12,0.831603603672996
295,10833216,101,0.998449011409892
297,10834674,10,0.798947730200959
299,10835811,11,0.871158806075359
300,10836914,11,0.95561959842118
301,10837131,18,0.976092625064529
302,10837718,98,0.994755248595876
303,10838720,100,0.998594640201126
304,10839092,16,0.953120142249655
305,10839737,18,0.949739891669911
307,10841740,73,0.994368000908059
308,10842625,13,0.890290347095469
309,10842904,46,0.985247744907867
310,10843456,18,0.958463395569982
311,10844030,72,0.996727309245533
312,10844446,39,0.988579548579684
313,10844734,98,0.99489178358311
316,10847496,12,0.935436063509108
317,10849946,34,0.988593729216913
320,10850957,20,0.963793754273221
321,10851814,98,0.998259720047131
323,10853058,84,0.994305596077106
325,10854225,97,0.997687672331547
326,10854254,27,0.966671577763271
327,10854344,15,0.947493355846903
328,10855510,101,0.993408771309913
329,10855596,100,0.998369604830305
330,10855938,41,0.991496103862322
331,10856210,34,0.994104901216302
333,10857414,16,0.932225430525076
334,10857972,26,0.950718359703528
335,10858781,98,0.99711896549607
336,10859972,95,0.99451081137222
337,10860029,38,0.992059096970961
338,10860100,41,0.981157294730587
340,10862244,20,0.952331951995551
341,10862973,21,0.990120364303886
342,10863132,101,0.998257620372542
343,10863524,14,0.953908416251786
344,10865990,70,0.993314207309721
347,10867304,99,0.991687406225653
348,10867751,32,0.983879274607093
349,10872399,20,0.98090083367554
350,10872751,69,0.996787888485266
353,10875747,14,0.963580757620815
354,10875965,10,0.928049680855649
355,10876044,64,0.994837389037226
357,10876550,48,0.98215276983984
358,10876583,18,0.962781802871669
359,10877019,97,0.992291614448515
360,10879699,66,0.994183163891945
361,10879791,98,0.995693332789807
363,10881517,26,0.985341438132727
365,10886814,15,0.906899099846427
366,10887098,11,0.977695737797296
368,10887390,37,0.995489113341773
369,10887479,27,0.989064472012665
370,10887646,20,0.929075472951823
372,10888366,39,0.975525488007133
373,10889076,37,0.99131152601445
374,10889111,101,0.997327228875398
375,10890901,95,0.998232791543597
377,10892213,35,0.990438236916431
378,10893370,45,0.991621225846371
379,10894029,14,0.959393373995528
382,10897475,93,0.997141567366375
383,10897861,12,0.894701176666795
384,10898305,89,0.996006235873061
385,10899307,24,0.963559342953984
386,10900093,22,0.96888990584766
388,10922335,23,0.976111471476977
390,10924252,99,0.994666400858761
391,10930170,96,0.998801303317905
392,10944522,94,0.999274498577522
393,10947397,25,0.968361229864031
394,10952213,11,0.944549238083479
395,10953587,17,0.977201127924041
396,10954319,15,0.958699225374681
397,10957758,12,0.908606379191011
398,10958461,12,0.942686605567715
399,10960347,19,0.941597844644088
400,10962387,12,0.946950300473114
401,10965911,53,0.989742146762811
404,10975167,101,0.992062399707632
405,10979113,10,0.81774296464234
407,10988944,12,0.954498456514959
408,10998169,43,0.983575098974836
409,11000129,10,0.862132367113395
410,11000712,99,0.997650317278727
411,11001304,12,0.944589895658772
412,11007469,31,0.985221912073227
413,11010389,26,0.989873127195706
414,11015968,10,0.982078404165735
416,11028170,19,0.978577113519018
417,11029231,48,0.986867235538707
418,11038189,100,0.998293171649866
419,11046740,98,0.989691474292658
420,11055577,21,0.986643189095312
421,11061660,18,0.974675735596544
422,11067359,21,0.950874703160192
423,11071158,101,0.995057516774721
425,11074877,65,0.998499018456967
427,11079147,13,0.979957094471788
429,11104202,26,0.956571532055553
432,11113273,100,0.99769342719193
434,11114441,10,0.876154454165372
435,11119173,85,0.996802950563261
436,11120729,10,0.95827820889767
437,11121628,11,0.842390936192657
439,11121973,19,0.959969337547892
441,11122887,104,0.999597897023087
442,11123240,22,0.970988618289595
443,11126114,11,0.950930883861632
444,11131846,11,0.913075183018765
445,11136476,20,0.963154712083084
446,11136883,101,0.99854957006099
449,11143075,36,0.975140636092549
450,11143277,32,0.993045869670157
451,11147712,58,0.99261538709082
453,11158826,24,0.952335584325799
455,11161941,12,0.870291223931943
456,11164167,95,0.998177150391673
458,11165505,14,0.932405175708945
