,ids,img_quantities,hopkins
330,10899307,24,1.0
331,10900093,22,1.0
332,10922335,23,1.0
333,10924252,99,1.0
334,10930170,96,1.0
335,10944522,94,1.0
336,10947397,25,1.0
337,10952213,11,0.896467070489783
338,10954319,15,0.999999999995886
339,10957758,12,1.0
340,10960347,19,0.999999999683992
341,10965911,53,1.0
343,10975167,101,1.0
344,10979113,10,0.95743336522876
346,10988944,12,1.0
347,10998169,43,1.0
348,11000129,10,0.906504871035888
349,11000712,99,1.0
350,11001304,12,1.0
351,11007469,31,1.0
352,11010389,26,1.0
353,11015968,10,1.0
355,11028170,19,1.0
356,11029231,48,1.0
357,11038189,100,1.0
358,11046740,98,1.0
359,11055577,21,0.999719161949005
360,11061660,18,1.0
361,11067359,21,1.0
362,11071158,101,1.0
363,11074877,65,1.0
364,11079147,13,1.0
367,11104202,26,0.750000000000001
368,11113273,100,1.0
369,11114441,10,0.999999754550572
370,11119173,85,1.0
371,11120729,10,0.984923812829495
372,11121628,11,0.756044073807219
373,11121973,19,1.0
374,11122887,104,1.0
375,11123240,22,1.0
376,11126114,11,0.7
377,11131846,11,0.720387687183715
378,11136476,20,0.897793021292504
379,11136883,101,1.0
382,11143075,36,1.0
383,11143277,32,1.0
384,11147712,58,1.0
386,11158826,24,1.0
387,11164167,95,1.0
389,11165505,14,0.999999999999995
390,11165910,12,1.0
392,11172036,101,1.0
393,11175358,35,1.0
394,11180263,97,1.0
396,11187551,20,0.999999991924387
397,11189194,80,1.0
398,11190409,101,1.0
400,11197471,35,1.0
401,11201833,70,1.0
402,11203109,101,0.999999999999553
403,11207964,101,1.0
404,11208258,21,0.94008547473223
405,11208838,95,1.0
406,11214226,17,1.0
409,11370567,11,0.994673675020327
411,11372160,17,0.999999999999999
412,11372907,99,1.0
413,11374082,94,1.0
414,11374752,90,1.0
415,11375815,23,1.0
416,11376479,27,1.0
417,1204404,11,0.730000000000001
418,2650102,25,0.998393362215019
419,2650105,100,1.0
420,2650106,97,1.0
421,2650107,87,1.0
422,2650119,21,1.0
423,2650123,15,0.999991023938253
424,2650125,61,1.0
425,2650128,102,1.0
426,2650129,73,1.0
427,2650131,99,1.0
428,2650133,95,1.0
429,2650136,58,1.0
430,2650137,12,0.740000000000001
431,2650138,83,1.0
432,2650150,101,1.0
433,2650158,32,1.0
434,2650161,43,0.999999999997462
435,2650162,10,0.71
436,2650163,97,1.0
437,2650165,101,1.0
439,2650180,101,1.0
440,2650187,14,1.0
441,2650190,22,0.74
443,2650199,59,1.0
444,2650211,22,1.0
445,2650213,25,1.0
446,2650245,23,0.99999996181106
447,2650246,99,1.0
448,2650256,77,1.0
449,2650258,99,1.0
450,2650269,100,1.0
451,2650280,100,1.0
452,2650281,19,1.0
453,2650326,68,1.0
454,2650332,95,1.0
455,2650334,35,1.0
456,2650432,98,1.0
457,2650434,19,1.0
458,2650435,101,1.0
459,2650436,101,1.0
460,2650437,100,1.0
461,2650442,100,1.0
462,2650477,30,0.999960331080952
463,2650479,99,1.0
464,2650483,101,1.0
465,2650486,50,0.999999998823368
466,2650487,57,1.0
467,2650491,21,1.0
468,2650496,98,1.0
469,2650503,25,1.0
470,2650516,99,1.0
471,2650524,101,1.0
472,2650530,13,0.999999999993958
473,2650532,100,1.0
474,2650536,99,1.0
475,2650542,11,0.998751585992425
476,2650544,26,1.0
477,2650546,41,1.0
478,2650548,42,1.0
479,2650558,12,1.0
480,2650561,101,1.0
481,2650562,24,1.0
482,2650586,28,1.0
483,2650593,15,1.0
484,2650594,101,1.0
485,2650600,97,1.0
486,2650609,40,1.0
487,2650611,27,1.0
488,2650613,98,1.0
489,2650614,103,1.0
490,2650617,101,1.0
491,2650621,101,1.0
492,2650623,10,0.980003804567458
493,2650625,99,1.0
494,2650627,21,0.763089940182989
495,2650631,101,1.0
496,2650635,16,1.0
497,2650637,95,1.0
498,2650651,99,1.0
499,2650652,80,1.0
500,2650654,25,1.0
501,2650655,101,1.0
502,2650661,43,1.0
503,2650667,34,1.0
504,2650669,101,1.0
505,2650674,20,0.999999995391097
507,2650676,101,1.0
508,2650682,14,1.0
509,2650685,98,1.0
510,2650690,20,1.0
511,2650696,15,0.752906244551901
512,2650702,100,1.0
514,2650710,27,1.0
515,2650714,97,1.0
516,2650716,100,1.0
517,2650720,101,1.0
518,2650725,100,1.0
519,2650730,102,1.0
520,2650747,100,1.0
521,2650751,62,1.0
524,2650772,100,1.0
525,2650774,101,1.0
526,2650777,101,1.0
528,2650799,99,1.0
529,2650801,102,1.0
530,2650805,43,1.0
531,2650808,100,1.0
532,2650810,100,1.0
