,class_ids,img_quantities,hopkins
353,10892213,35,1.0
354,10893370,45,1.0
355,10894029,14,1.0
358,10897475,93,1.0
359,10897861,12,1.0
360,10898305,89,1.0
361,10899307,24,1.0
362,10900093,22,1.0
364,10922335,23,1.0
366,10924252,99,1.0
367,10930170,96,1.0
368,10944522,94,1.0
369,10947397,25,1.0
370,10952213,11,0.999999992358726
371,10953587,17,1.0
372,10954319,15,0.855279590286862
373,10957758,12,1.0
374,10958461,12,1.0
375,10960347,19,0.85430100420294
376,10962387,12,1.0
377,10965911,53,1.0
379,10975167,101,1.0
380,10979113,10,1.0
382,10988944,12,1.0
383,10998169,43,1.0
385,11000129,10,1.0
386,11000712,99,1.0
387,11001304,12,1.0
388,11007469,31,1.0
389,11010389,26,1.0
390,11015968,10,1.0
391,11028170,19,1.0
392,11029231,48,1.0
393,11038189,100,1.0
394,11046740,98,1.0
395,11055577,21,0.997473396898721
396,11061660,18,1.0
397,11067359,21,1.0
398,11071158,101,1.0
399,11074877,65,1.0
400,11079147,13,1.0
403,11104202,26,0.934192309955969
406,11113273,100,1.0
408,11119173,85,1.0
409,11120729,10,1.0
410,11121628,11,1.0
411,11121973,19,1.0
413,11122887,104,1.0
414,11126114,11,0.72
415,11131846,11,0.999999999869442
416,11136476,20,1.0
417,11136883,101,1.0
420,11143075,36,1.0
421,11143277,32,1.0
422,11147712,58,1.0
424,11158826,24,1.0
425,11164167,95,1.0
427,11165505,14,1.0
428,11165910,12,1.0
430,11172036,101,1.0
431,11175358,35,1.0
433,11180263,97,1.0
435,11187551,20,1.0
436,11189194,80,1.0
437,11190409,101,1.0
439,11197471,35,1.0
441,11201833,70,1.0
442,11203109,101,1.0
443,11207964,101,0.999999999827917
444,11208258,21,1.0
445,11208838,95,1.0
447,11214226,17,1.0
448,11370567,11,1.0
451,11372160,17,1.0
452,11372907,99,1.0
453,11374082,94,1.0
454,11374752,90,1.0
455,11375815,23,1.0
456,11376479,27,1.0
457,1204404,11,1.0
459,2650102,25,1.0
460,2650105,100,1.0
461,2650106,97,1.0
462,2650107,87,1.0
463,2650119,21,1.0
464,2650123,15,1.0
465,2650125,61,1.0
466,2650128,102,1.0
467,2650129,73,1.0
468,2650131,99,1.0
469,2650133,95,1.0
470,2650136,58,1.0
471,2650137,12,0.999999999998288
472,2650138,83,1.0
473,2650150,101,1.0
474,2650158,32,1.0
475,2650161,43,1.0
476,2650162,10,0.72
477,2650163,97,1.0
478,2650165,101,1.0
480,2650180,101,1.0
481,2650187,14,1.0
485,2650199,59,1.0
486,2650201,101,1.0
487,2650211,22,1.0
488,2650213,25,1.0
489,2650245,23,0.999999999999587
490,2650246,99,1.0
491,2650256,77,1.0
492,2650258,99,1.0
493,2650269,100,1.0
494,2650280,100,1.0
495,2650281,19,0.700004710901331
496,2650326,68,1.0
497,2650332,95,1.0
498,2650334,35,1.0
500,2650432,98,1.0
501,2650434,19,1.0
502,2650435,101,1.0
503,2650436,101,1.0
504,2650437,100,1.0
505,2650442,100,1.0
506,2650477,30,1.0
507,2650479,99,1.0
508,2650483,101,1.0
509,2650486,50,0.999999999944302
510,2650487,57,1.0
511,2650491,21,1.0
512,2650496,98,1.0
513,2650503,25,1.0
514,2650516,99,1.0
515,2650524,101,1.0
516,2650530,13,1.0
517,2650532,100,1.0
518,2650536,99,1.0
519,2650542,11,1.0
520,2650544,26,1.0
521,2650546,41,1.0
522,2650548,42,1.0
523,2650558,12,1.0
524,2650561,101,1.0
525,2650562,24,1.0
526,2650586,28,1.0
527,2650594,101,1.0
528,2650600,97,1.0
529,2650609,40,1.0
530,2650611,27,1.0
531,2650613,98,1.0
532,2650614,103,1.0
533,2650617,101,1.0
534,2650621,101,1.0
535,2650623,10,1.0
536,2650625,99,1.0
537,2650627,21,1.0
538,2650631,101,1.0
539,2650635,16,1.0
540,2650637,95,1.0
543,2650651,99,1.0
544,2650652,80,1.0
545,2650654,25,1.0
546,2650655,101,1.0
547,2650661,43,1.0
548,2650667,34,0.999999999998302
549,2650669,101,1.0
550,2650674,20,1.0
552,2650676,101,1.0
553,2650682,14,1.0
554,2650685,98,1.0
556,2650690,20,1.0
557,2650696,15,1.0
558,2650702,100,1.0
560,2650710,27,1.0
561,2650714,97,1.0
562,2650716,100,1.0
563,2650725,100,1.0
564,2650730,102,1.0
565,2650744,13,0.73
566,2650747,100,1.0
567,2650751,62,0.999999999999945
571,2650772,100,1.0
572,2650774,101,1.0
573,2650777,101,1.0
575,2650799,99,1.0
576,2650801,102,1.0
577,2650805,43,1.0
578,2650808,100,1.0
579,2650810,100,1.0
580,2650813,101,1.0
581,2650815,40,1.0
582,2650818,100,1.0
583,2650827,100,1.0
584,2650828,44,1.0
585,2650829,101,1.0
586,2650841,101,1.0
587,2650845,100,1.0
588,2650848,100,1.0
589,2650849,15,1.0
590,2650858,101,1.0
591,2650876,10,1.0
592,2650879,60,1.0
593,2650903,101,1.0
594,2650905,20,0.999235882556173
595,2650910,27,1.0
597,2650927,101,1.0
598,2650928,100,1.0
599,2650930,101,1.0
600,2650933,14,0.921048639336145
601,2650934,24,1.0
602,2650936,101,1.0
603,2650944,97,1.0
604,2650954,25,1.0
607,2650986,100,0.99999999999999
609,2650997,24,1.0
610,2650999,101,0.730000000232231
612,2651039,73,1.0
615,2651074,14,0.7
616,2651078,11,1.0
617,2651086,14,1.0
618,2651088,101,1.0
619,2651089,15,1.0
620,2651092,100,1.0
622,2651097,98,1.0
623,2651098,100,1.0
624,2651100,101,1.0
625,2651104,89,1.0
627,2651109,55,1.0
628,2651113,102,1.0
629,2651114,100,1.0
630,2651115,100,1.0
631,2651117,101,1.0
632,2651122,101,1.0
633,2651219,57,1.0
634,2651250,13,1.0
635,2651301,63,1.0
636,2651311,61,1.0
637,2651315,101,1.0
638,2651317,11,1.0
639,2651319,28,1.0
640,2651330,101,1.0
641,2651335,100,1.0
