id,avg,std
3801903,1,0
3801935,1,0
3802033,0.74,0.440844002276808
3802115,1,0
3802187,1,0
3802250,1,0
3802259,0.964952042898668,0.155355292761306
3802277,0.540000000037218,0.500908265921506
3802311,0.73,0.446196043338474
3802334,1,0
3802360,1,0
3802390,1,0
3802393,0.77,0.422952584681651
3802492,0.76,0.429234695990928
3802515,0.57,0.497569851956243
3802521,0.99426296342716,0.0346982788409592
3802651,1,0
3802655,1,0
3802664,0.76,0.429234695990928
3802666,0.76,0.429234695990928
3802705,1,0
3802772,1,0
3802833,1,0
3802874,1,0
3802877,1,0
3802879,0.830000000000001,0.377525168068635
3803085,0.999995986853562,3.9408929846086e-05
3803090,1,1.11581612311974e-17
3803095,0.700011821562867,0.460548046669508
3803124,0.720000000000013,0.451260859854192
3803146,0.999999999999952,1.9568777408858e-13
3803245,1,0
3803306,0.650000061980821,0.479372400550296
3803321,1,0
3803379,1,0
3803396,0.560002352717482,0.498884984520005
3803716,1,0
3804846,1,0
3805436,0.6,0.492365963917331
3806977,0.999999983415869,8.76503982247681e-08
3806981,0.690000000350407,0.46482319818632
3806994,0.8,0.402015126103685
3807128,4.40867093164003e-47,4.00452281491669e-46
3807150,1,0
3807372,1.25762989718843e-29,1.14234209201674e-28
3807411,0.48,0.502116731568678
3807425,1,0
3807553,1,0
3807555,0.799445121066375,0.394354056312147
3808039,0.999999999996962,2.0709594094432e-11
3808084,1,0
3808198,0.97042320197834,0.144094693400504
3808260,0.44,0.498887651569859
3808317,0.82,0.386122919665369
3808351,0.996027648051404,0.0282225644311961
3808362,0.73,0.446196043338474
3808372,1,0
3808482,0.7,0.460566186471838
3808528,1,0
3808608,0.679999999519237,0.468826171930689
3808825,1.00039603361065e-10,9.11548877637868e-10
3808844,1,9.66325108573961e-17
3808928,1,0
3809003,1,0
3809068,0.69,0.464823198711732
3809092,1,0
3809605,1,0
3809638,1,0
3809748,0.744841974902902,0.431486164966066
3809765,1,0
3809792,0.65,0.479372485441102
3809829,1,0
3809967,1,0
3810093,0.77,0.422952584681651
3810100,0.72,0.451260859854213
3810117,1,0
3810293,0.69,0.464823198711732
3810336,1,0
3810571,1,0
3810607,1,0
3810616,0.75,0.435194139889245
3810727,0.896389712526696,0.268134776748178
3810739,0.88,0.32659863237109
3810795,0.68,0.468826172262151
3810796,0.830937652419901,0.375543366925164
3810813,1,0
3810936,0.999999999999896,7.50725486206383e-13
3811075,1,0
3811162,1,0
3811201,1,0
3811309,0.67,0.472581562625261
3811439,0.77,0.422952584681651
3811459,1,0
3811502,0.74,0.440844002276808
3811632,1,2.16939448831254e-16
3811735,0.530000000212862,0.501613557819412
3811784,1,0
3811846,0.65,0.479372485441102
3811900,1,0
3812138,1,0
3812192,1,0
3812204,1,0
3812210,1,0
3812294,0.999999999994916,4.16693140110114e-11
